id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,combatant_deaths
204002,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-03-27,Yemen's port of Aden under threat with enemy at the gates""",Reuters News,2015-03-27,Yemen's port of Aden under threat with enemy at the gates,Reuters News,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/27/2015 00:00:00,03/27/2015 00:00:00,0,0,0,16,16,16,16,0
204005,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-03-27,Warplanes strike home province of Yemen's Houthis-sources""",Reuters News,2015-03-27,Warplanes strike home province of Yemen's Houthis-sources,tribal sources ,1,Kitāf town,,Şa‘dah governorate,Kitāf district,17.031654,44.109049,POINT (44.109049 17.031654),154529,Yemen (North Yemen),678,Middle East,1,1,03/27/2015 00:00:00,03/27/2015 00:00:00,0,0,0,1,1,1,1,0
204006,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-28,Heavy blasts at Aden arms depot kill at least 14""",Agence France Presse,2015-03-28,Heavy blasts at Aden arms depot kill at least 14,health department director Al-Kheder Lassouar ,6,Yemen (North Yemen),,,,15.5,47.5,POINT (47.500000 15.500000),152376,Yemen (North Yemen),678,Middle East,2,2,03/26/2015 00:00:00,03/28/2015 00:00:00,0,0,0,21,21,21,21,0
204007,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-28,Heavy blasts at Aden arms depot kill at least 14""",Agence France Presse,2015-03-28,Heavy blasts at Aden arms depot kill at least 14,"medics, Special forces officials close the Huthis ",1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/28/2015 00:00:00,03/28/2015 00:00:00,9,5,0,0,14,14,14,14
204012,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-29,Air strikes kill 15 Yemeni rebel troops: military source""",Agence France Presse,2015-03-29,Air strikes kill 15 Yemeni rebel troops: military source,a military official ,1,Şan‘ā’ city,,Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,1,03/29/2015 00:00:00,03/29/2015 00:00:00,15,0,0,0,15,15,15,15
204013,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-03-29,Saudi-led air strikes on Yemen kill 35 - Houthi-controlled health ministry""",Reuters News,2015-03-29,Saudi-led air strikes on Yemen kill 35 - Houthi-controlled health ministry,an official in the Houthi-controlled health ministry ,4,Şan‘ā’ governorate,,Şan‘ā’ governorate,,15.26069,44.424896,POINT (44.424896 15.260690),151649,Yemen (North Yemen),678,Middle East,1,2,03/28/2015 00:00:00,03/29/2015 00:00:00,0,0,0,7,7,7,6,0
204014,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-03-29,Saudi-led air strikes on Yemen kill 35 - Houthi-controlled health ministry""",Reuters News,2015-03-29,Saudi-led air strikes on Yemen kill 35 - Houthi-controlled health ministry,an official in the Houthi-controlled health ministry ,4,Şa‘dah governorate,,Şa‘dah governorate,,17.063404,43.914882,POINT (43.914882 17.063404),154528,Yemen (North Yemen),678,Middle East,1,2,03/28/2015 00:00:00,03/29/2015 00:00:00,0,0,0,7,7,6,7,0
204015,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-03-29,Saudi-led air strikes on Yemen kill 35 - Houthi-controlled health ministry""",Reuters News,2015-03-29,Saudi-led air strikes on Yemen kill 35 - Houthi-controlled health ministry,an official in the Houthi-controlled health ministry ,4,al-Ḩudaydah governorate,,al-Ḩudaydah governorate,,14.917317,43.192787,POINT (43.192787 14.917317),150927,Yemen (North Yemen),678,Middle East,1,2,03/28/2015 00:00:00,03/29/2015 00:00:00,0,0,0,6,6,7,7,0
204017,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,2,"""Reuters News,2015-03-30,Death toll from air strike at Yemen refugee camp reaches 45: IOM"";""Reuters News,2015-03-30,UPDATE 2-Air strike at Yemeni refugee camp kills 45 - IOM""",Reuters News;Reuters News,2015-03-30;2015-03-30,Death toll from air strike at Yemen refugee camp reaches 45: IOM;UPDATE 2-Air strike at Yemeni refugee camp kills 45 - IOM,International Organization for Migration ,2,Al Mazraq town,,Ḩajjah governorate,Ḩaraḑ district,16.557952,43.198112,POINT (43.198112 16.557952),153807,Yemen (North Yemen),678,Middle East,1,1,03/30/2015 00:00:00,03/30/2015 00:00:00,0,0,45,0,45,45,45,0
204018,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-30,Rebel shelling 'kills eight' in south Yemen""",Agence France Presse,2015-03-30,Rebel shelling 'kills eight' in south Yemen,official ,1,aḑ-Ḑāli‘ town,,aḑ-Ḑāli‘ governorate,aḑ-Ḑāli‘ district,13.695723,44.73137,POINT (44.731370 13.695723),149490,Yemen (North Yemen),678,Middle East,1,1,03/30/2015 00:00:00,03/30/2015 00:00:00,0,0,8,0,8,8,8,0
204020,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-30,Air raid kills scores at Yemen displaced camp""",Agence France Presse,2015-03-30,Air raid kills scores at Yemen displaced camp,a military official ,2,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/30/2015 00:00:00,03/30/2015 00:00:00,12,0,0,0,12,12,12,12
204021,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-03-30,Air strike kills at least 40 at Yemen camp for displaced""",Reuters News,2015-03-30,Air strike kills at least 40 at Yemen camp for displaced,"A Hadi aide, local fighters",1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/30/2015 00:00:00,03/30/2015 00:00:00,0,3,3,0,6,6,6,3
204024,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""BBC Monitoring Middle East,2015-03-31,Forces loyal to Yemen's Hadi, Huthi clash for control over Aden; 26 killed""",BBC Monitoring Middle East,2015-03-31,"Forces loyal to Yemen's Hadi, Huthi clash for control over Aden; 26 killed",Aljazeera,4,Ibb governorate,,Ibb governorate,,14,44.166667,POINT (44.166667 14.000000),150209,Yemen (North Yemen),678,Middle East,1,1,03/31/2015 00:00:00,03/31/2015 00:00:00,0,0,0,10,10,10,10,0
204027,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,2,"""Reuters News,2015-03-31,At least 36 dead as Yemen's Houthis shell Aden, warplanes bomb airport"";""Reuters News,2015-03-31,At least 36 dead as Yemen's Houthis shell Aden, warplanes bomb airport""",Reuters News;Reuters News,2015-03-31;2015-03-31,"At least 36 dead as Yemen's Houthis shell Aden, warplanes bomb airport;At least 36 dead as Yemen's Houthis shell Aden, warplanes bomb airport",a health ministry official ,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,2,2,03/30/2015 00:00:00,03/31/2015 00:00:00,0,10,0,26,36,36,36,10
204028,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen""",Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen,"Governor, Health authorities ",1,Al-Ḩudaydah town,,al-Ḩudaydah governorate,,14.797812,42.954516,POINT (42.954516 14.797812),150926,Yemen (North Yemen),678,Middle East,1,2,03/31/2015 00:00:00,04/01/2015 00:00:00,0,0,35,0,35,37,35,0
204031,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen""",Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen,officials ,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/01/2015 00:00:00,04/01/2015 00:00:00,0,0,6,13,19,19,19,0
204033,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen""",Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen,officials ,1,Mīdī town,,Ḩajjah governorate,Mīdī district,16.321009,42.812992,POINT (42.812992 16.321009),153086,Yemen (North Yemen),678,Middle East,1,1,04/01/2015 00:00:00,04/01/2015 00:00:00,0,0,6,0,6,6,6,0
204036,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,1,"""Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen""",Agence France Presse,2015-04-01,Dozens dead as dairy bombed in war-torn Yemen,AQAP,4,al-Bayḑā’ governorate,,al-Bayḑā’ governorate,,14.34166,45.39442,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,04/01/2015 00:00:00,04/01/2015 00:00:00,0,0,0,0,0,8,0,0
204039,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-02,Saudi soldier killed, 10 wounded by gunfire from Yemen""",Agence France Presse,2015-04-02,"Saudi soldier killed, 10 wounded by gunfire from Yemen",Saudi Arabia ,5,Saudi Arabia - Yemen border,,,,17.397132,43.477426,POINT (43.477426 17.397132),154527,Yemen (North Yemen),678,Middle East,1,1,04/02/2015 00:00:00,04/02/2015 00:00:00,0,1,0,0,1,1,1,1
204041,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-02,44 killed in fighting in Yemen's Aden: medics, army""",Agence France Presse,2015-04-02,"44 killed in fighting in Yemen's Aden: medics, army",medics and a military official ,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/02/2015 00:00:00,04/02/2015 00:00:00,20,6,18,0,44,44,44,26
204043,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-03,Yemen rebels quit Aden palace, Qaeda makes gains""",Agence France Presse,2015-04-03,"Yemen rebels quit Aden palace, Qaeda makes gains",a military source ,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,2,04/02/2015 00:00:00,04/03/2015 00:00:00,12,0,0,0,12,12,12,12
204120,,2015,True,Clear,2,14596,13587,AQAP - Forces of Hadi,14596,14596,AQAP - Forces of Hadi,881,881,AQAP,6254,6254,Forces of Hadi,1,"""Reuters News,2015-04-03,Suspected al Qaeda fighters seize military base in east Yemen""",Reuters News,2015-04-03,Suspected al Qaeda fighters seize military base in east Yemen,residents and local officials ,1,Al Mukallā town,,Ḩaḑramawt governorate,Al Mukallā district,14.542481,49.124244,POINT (49.124244 14.542481),150939,Yemen (North Yemen),678,Middle East,1,1,04/03/2015 00:00:00,04/03/2015 00:00:00,0,5,0,0,5,5,5,5
204122,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-03,Two more Saudi soldiers killed on Yemen border: ministry""",Agence France Presse,2015-04-03,Two more Saudi soldiers killed on Yemen border: ministry,interior ministry (SAU),5,Asir region (SAU) - Şa‘dah governorate (YEM) border,,,,17.552799,43.454617,POINT (43.454617 17.552799),155247,Yemen (North Yemen),678,Middle East,1,1,04/03/2015 00:00:00,04/03/2015 00:00:00,0,2,0,0,2,2,2,2
204123,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-04-04,CORRECTED-Yemen air strike kills family of nine - residents""",Reuters News,2015-04-04,CORRECTED-Yemen air strike kills family of nine - residents,residents ,2,Jabal an Nabī Shu‘ayb,,Şan‘ā’ governorate,Banī Maţar district,15.28071,43.978083,POINT (43.978083 15.280710),151648,Yemen (North Yemen),678,Middle East,1,1,04/03/2015 00:00:00,04/03/2015 00:00:00,0,0,9,0,9,9,9,0
204125,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-05,Yemen rebels advance in battleground Aden""",Agence France Presse,2015-04-05,Yemen rebels advance in battleground Aden,Agence France Presse,1,Lawdar town,,Abyan governorate,Lawdar district,13.882824,45.868586,POINT (45.868586 13.882824),149492,Yemen (North Yemen),678,Middle East,1,1,04/05/2015 00:00:00,04/05/2015 00:00:00,21,0,0,3,24,24,24,21
204126,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Reuters News,2015-04-05,Dozens killed in fighting near Yemen's Aden port""",Reuters News,2015-04-05,Dozens killed in fighting near Yemen's Aden port,A pro-Hadi militia source ,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/05/2015 00:00:00,04/05/2015 00:00:00,36,11,0,0,47,47,47,47
204130,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-05,Yemen rebels advance in battleground Aden""",Agence France Presse,2015-04-05,Yemen rebels advance in battleground Aden,city's health department director,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,04/05/2015 00:00:00,04/05/2015 00:00:00,0,0,5,0,5,5,5,0
204132,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-06,At least 53 dead in clashes in Yemen's Aden""",Agence France Presse,2015-04-06,At least 53 dead in clashes in Yemen's Aden,medical and army sources,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,2,2,04/05/2015 00:00:00,04/06/2015 00:00:00,0,0,12,0,12,12,12,0
204147,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-06,Yemen clashes kill dozens as aid delayed""",Agence France Presse,2015-04-06,Yemen clashes kill dozens as aid delayed,local officials,1,aḑ-Ḑāli‘ town,,aḑ-Ḑāli‘ governorate,aḑ-Ḑāli‘ district,13.695723,44.73137,POINT (44.731370 13.695723),149490,Yemen (North Yemen),678,Middle East,1,1,04/06/2015 00:00:00,04/06/2015 00:00:00,19,15,0,0,34,34,34,34
204151,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-06,Yemen clashes kill dozens as aid delayed""",Agence France Presse,2015-04-06,Yemen clashes kill dozens as aid delayed,Agence France Presse,4,Abyan governorate,,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,04/06/2015 00:00:00,04/06/2015 00:00:00,0,0,0,7,7,7,7,0
204155,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-06,Yemen clashes kill more than 100 as aid delayed""",Agence France Presse,2015-04-06,Yemen clashes kill more than 100 as aid delayed,army source and witnesses,2,Al-Anad village,,Laḩij governorate,Al Ḩawţah district,13.210556,44.785,POINT (44.785000 13.210556),148770,Yemen (North Yemen),678,Middle East,1,1,04/06/2015 00:00:00,04/06/2015 00:00:00,10,0,0,0,10,10,10,10
204158,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-04-06,Yemen clashes kill more than 100 as aid delayed""",Agence France Presse,2015-04-06,Yemen clashes kill more than 100 as aid delayed,an army source and witnesses ,4,Shabwah governorate,,Shabwah governorate,,15,47,POINT (47.000000 15.000000),151655,Yemen (North Yemen),678,Middle East,1,1,04/06/2015 00:00:00,04/06/2015 00:00:00,8,0,0,0,8,8,8,8
